Year,Avg_GDP_Per_Capita_Africa,Avg_GDP_Per_Capita_Asia,Avg_GDP_Per_Capita_Europe,Avg_GDP_Per_Capita_North America,Avg_GDP_Per_Capita_Oceania,Avg_GDP_Per_Capita_South America
2000,1178.8014115542126,6395.418102224334,16189.934498352275,17559.812432799386,8062.539585579413,3315.105562108589
2001,1116.8312400657705,6064.301559328239,16404.11100010891,16922.908541583747,7891.2206597135,3141.2709798618075
2002,1106.0389553095984,6172.67223181726,18002.21494854285,16881.70920432775,7854.842183694161,2473.818951758238
2003,1306.1812194628928,6785.100424212786,21863.057624822963,17389.781518557844,8874.075103360243,2566.7800383744475
2004,1560.200509340323,7841.200327800004,25271.97619850881,18165.831267305464,9970.932513572638,3088.7458920594854
2005,1817.5232395927076,8967.512503293778,26808.39890631089,19109.078785625672,10530.32951793647,3734.6105366036622
2006,2016.656916475577,10025.909298066055,29088.733874891255,20039.88538857719,10814.547908196433,4660.7958781647285
2007,2258.8660906495475,11083.519685305257,34398.88957360863,21279.38727189327,12072.803976222644,5512.065116929818
2008,2598.7033193562875,12690.143881668506,37891.83956697192,21896.6230677697,12849.03275844069,6654.7916232165
2009,2262.495621630901,10935.706273881713,33192.47404381147,20514.450795456898,12094.145275749723,6587.276822257386
2010,2531.0819236415587,12621.906215095518,33568.955251124156,20767.867538775892,12713.27586260156,7991.926133995341
2011,2774.989663538762,14701.124684268778,36779.424576503414,20985.01800322964,13975.973416534507,8833.351101932969
2012,2901.8120475978785,15371.518096222002,34803.228220039724,21195.776826751997,14556.90587747827,9388.407176054703
2013,2923.4670754448607,15592.28694580256,36969.5799004911,21419.599557739206,14901.757530813338,9729.047287315505
2014,2878.7100770475904,15468.413778124996,37999.23620184377,21934.805100465364,15020.791057285083,9890.269453777488
2015,2441.043808427916,13284.479376360867,33451.19434738712,21931.324023598074,14034.171595619624,8589.844167499477
2016,2378.546593620943,13042.702919426485,33834.309300768364,22389.646006520034,14309.785866702303,8219.525084246483
2017,2550.1306596684162,13834.179097053013,35572.88829710536,22981.115769116852,15287.639027709267,8974.743168739698
2018,2679.012405935588,14813.322511597711,38294.21821562707,23749.54571640821,15625.907794278957,8876.271040386062
2019,2590.2924297299014,14691.728547987204,37647.900439099685,24541.68137067017,15380.22306080986,8506.014560428366
2020,2249.794736614878,12558.055231565379,36454.157100338234,22255.71499592443,14488.416429892884,7494.860799461893
2021,2493.062841335339,14576.949244082949,41613.35147469859,23880.9507438742,15832.350821103579,8679.67048594713
2022,2636.65733883659,15867.726197364631,38561.2028794321,24258.243185335567,15045.936545853257,10174.23922188655
